GameNum,WhitePlayer,BlackPlayer,Game,White,Black,Date,Event,Link,
11,Tones,Sapphia,"1. e4 / Nf6
2. d4 / d5
3. c3 / c6
4. Bg5 / Nxe4
5. Qh5 / g6
6. Bxe7 / Qxe7
7. Qe5 / Qxe5
8. dxe5 / Bh6
9. f4 / Nf2
10. Kxf2 / Bxf4
11. Nf3 / Bg4
12. e6 / fxe6
13. h3 / Bf5
14. Na3 / Nd7
15. g4 / Ne5
16. Rd1 / Nxf3
17. Kxf3 / (0T17)Bf4>>x(0T16)f3~ (>L-1)
18. (0T18)Bf1>>(0T15)c1~ (>L1) / (1T15)Bd3
19. (1T16)Bxf4 / (1T16)Be2",0,1,15/8/2021,,,
12,Sapphia,Tones,"1.{20:05}(0T1)Ng1f3 / {20:05}(0T1)Ng8f6 
2.{20:05}(0T2)c2c4 / {20:04}(0T2)c7c5 
3.{19:43}(0T3)g2g3 / {19:44}(0T3)Nb8c6 
4.{19:32}(0T4)Bf1h3 / {19:20}(0T4)Nc6d4 
5.{18:47}(0T5)e2e3 / {18:50}(0T5)b7b6 
6.{18:34}(0T6)b2b3 / {18:46}(0T6)Bc8b7 
7.{18:32}(0T7)Bc1b2 / {18:27}(0T7)Bb7f3 
8.{17:23}(0T8)Qd1f3 / {18:27}(0T8)Nd4f3 
9.{17:23}(0T9)Ke1d1 / {17:56}(0T9)Nf6e4 
10.{15:40}(0T10)Bh3g4 / {17:42}(0T10)Ne4f2 
11.{15:43}(0T11)Kd1c1 / {17:22}(0T11)Nf3>>(0T10)d3 
12.{14:14}(0T12)Bg4>>(0T10)e4 / {16:42}(1T10)Nf3d2 
13.{13:50}(1T11)Nb1d2 (-1T11)Bg4f3 / {16:07}(-1T11)Ne4f2 (1T11)e7e6 
14.{13:09}(1T12)Bh3>>(1T11)h4 / {15:57}(2T11)Nd2b1 ",0,1,22/8/2021,,,
13,Tones,Sapphia,"1. e4 / Nf6
2. d4 / c5
3. b4 / cxb4
4. Bg5 / Qa5
5. Bxf6 / gxf6
6. Qd2 / b6
7. Nf3 / Bb7
8. Bd3 / Bg7
9. c3 / bxc3
10. Qxc3 / Qxc3
11. Nxc3 / f5
12. e5 / e6
13. Be2 / Nc6
14. Nb5 / Nxd4
15. Nd6 / Kf8
16. Nxd4 / Bxe5
17. Nxb7 / Bxd4
18. Rd1 / (0T18)Bd4>>x(0T16)d6~ (>L-1)
19. (-1T17)exd6 / (-1T17)Bxd4
20. (-1T18)Rd1 / (-1T18)Bc3
21. (-1T19)Kf1 (0T19)Nd6 / (-1T19)Bc6 (0T19)f4
22. (0T20)Nd6>(-1T20)f6 / (-1T20)Bxf6 (0T20)Rc8
23. (0T21)O-O (-1T21)Rg1 / (-1T21)Be5 (0T21)b5
24. (0T22)Be2>>(0T20)e4~ (>L1) / (1T20)Ke7
25. (1T21)Nc4 / (1T21)Rac8
26. (1T22)Ne5 (-1T22)Rc1 / (-1T22)Be5>>x(-1T19)e2~ (>L-2)
27. (-2T20)Kf1>>(-1T21)g1~ (>L2) / (-2T20)Bxg2
28. (-2T21)Rhg1 / (2T21)Bd5 (-2T21)Bg2>>x(-1T22)g2~ (>L-3)
29. (2T22)Rxd5 (-2T22)Rg8",1,0,11/9/2021,,,
14,Sapphia,Tones,"1. Nf3 / Nf6
2. c4 / c6
3. Qb3 / d5
4. e3 / Qb6
5. Qxb6 / axb6
6. b3 / Bg4
7. Be2 / e5
8. Ba3 / Bxa3
9. Nxa3 / e4
10. Nd4 / Bxe2
11. Nxe2 / Rxa3
12. O-O / O-O
13. g3 / Nbd7
14. Nf4 / Ne5
15. cxd5 / Nf3
16. Kh1 / Nh5
17. Nxh5 / Rxa2
18. Rxa2 / (0T18)Nf3>>(0T17)h3~ (>L-1)
19. (0T19)Nh5>>(0T17)h4~ (>L1) / (1T17)Nxh4
20. (1T18)Kh1>>(0T17)g2~ (>L2) / (2T17)Nxf4",0,1,11/9/2021,,,
15,Tones,Sapphia,"1. e4 / Nf6
2. d4 / d5
3. c3 / c6
4. Bg5 / Bg4
5. Qc2 / Nxe4
6. Bf4 / Bf5
7. Be3 / e6
8. Nf3 / Ng3
9. Bd3 / Nxh1
10. Bxf5 / exf5
11. Qxf5 / Nd7
12. Ng5 / Qe7
13. Qxf7",1,0,11/9/2021,,,
16,Tones,Sapphia,"1.{20:05}(0T1)Ng1f3 / {20:05}(0T1)Ng8f6 
2.{20:05}(0T2)d2d4 / {19:46}(0T2)c7c5 
3.{20:01}(0T3)c2c3 / {19:28}(0T3)b7b6 
4.{19:31}(0T4)Bc1g5 / {19:28}(0T4)Bc8b7 
5.{19:15}(0T5)Bg5f6 / {19:28}(0T5)g7f6 
6.{19:00}(0T6)e2e3 / {19:20}(0T6)Bf8g7 
7.{18:41}(0T7)Nf3h4 / {18:07}(0T7)Rh8g8 
8.{18:12}(0T8)Bf1c4 / {17:00}(0T8)Bb7g2 
9.{17:30}(0T9)Bc4f7 / {15:57}(0T9)Ke8f7 
10.{17:16}(0T10)Nh4f5 ",1,0,19/9/2021,,,
17,Tones,Sapphia,"1.{10:33}(0T1)Ng1f3 / {3:06}(0T1)Ng8f6 
2.{10:33}(0T2)d2d4 / {3:06}(0T2)Nb8a6 
3.{10:33}(0T3)c2c3 / {3:06}(0T3)c7c5 
4.{10:33}(0T4)Nb1d2 / {3:06}(0T4)Qd8b6 
5.{10:33}(0T5)e2e4 / {3:06}(0T5)c5d4 
6.{10:33}(0T6)Nf3d4 / {3:06}(0T6)Na6c5 
7.{10:33}(0T7)Bf1c4 / {3:06}(0T7)e7e6 
8.{10:33}(0T8)e4e5 / {3:06}(0T8)Bf8d6 
9.{10:33}(0T9)e5d6 / {3:06}(0T9)Qb6d6 
10.{10:33}(0T10)Qd1e2 / {3:06}(0T10)Qd6f4 
11.{10:33}(0T11)Nd4>>(0T10)d6 / {3:06}(0T11)Qf4>>(0T9)f2 
12.{10:33}(-1T10)Ke1f2 / {3:06}(-1T10)Qb6>(1T10)d6 
13.{10:33}(-1T11)Qd1f3 (1T11)Bc4e6 / {3:06}(-1T11)Nf6e4 (1T11)Qd6e6 
14.{10:33}(1T12)Nd4e6 (-1T12)Nd2e4 (0T12)Nd2f3 / {3:06}(1T12)Nc5e6 (-1T12)Nc5d3 (0T12)Ke8g8 
15.{10:33}(1T13)Nd2>(-1T13)d3 (0T13)Bc1g5 / {3:06}(0T13)Bc8>(1T13)c7 (-1T13)Rh8f8 
16.{10:33}(1T14)Qd1e2 (-1T14)Nd3e5 (0T14)Bc4e6 / {3:06}(1T14)Bc7f4 (0T14)Nc5e6 (-1T14)b7b6 
17.{10:33}(-1T15)Ne5>>(-1T14)e7 / {3:06}(2T14)b7b6 
18.{10:33}(1T15)Bc1f4 (2T15)Nd4b5 (0T15)Bg5f6 / {3:06}(1T15)Nf6>>(1T14)f4 
19.{10:33}(-2T15)Bc1f4 / {3:06}(-2T15)Bc7f4 (-1T15)Bc8b7 (0T15)Ne6>(2T15)e7 
20.{10:33}(-1T16)Nd4>(-2T16)f4 (2T16)Nb5c7 (0T16)Qe2e7 (1T16)Qe2e6 / {3:06}(-2T16)Nf6>>(-2T15)f4 
21.{10:33}(-3T16)Qe2e6 ",1,0,2/10/2021,,,
18,Sapphia,Tones,"1.{20:05}(0T1)Ng1f3 / {20:05}(0T1)Ng8f6 
2.{20:05}(0T2)Nb1a3 / {19:54}(0T2)c7c6 
3.{20:05}(0T3)Na3c4 / {19:23}(0T3)d7d5 
4.{19:56}(0T4)Nc4e5 / {17:40}(0T4)Bc8g4 
5.{19:20}(0T5)Ne5g4 / {17:40}(0T5)Nf6g4 
6.{19:20}(0T6)b2b3 / {16:47}(0T6)Ng4f2 
7.{18:43}(0T7)Ke1f2 / {16:31}(0T7)e7e5 
8.{17:18}(0T8)d2d4 / {14:48}(0T8)e5e4 
9.{15:40}(0T9)Bc1g5 / {14:15}(0T9)Bf8e7 
10.{15:16}(0T10)g2g3 / {13:56}(0T10)Be7g5 
11.{14:22}(0T11)Nf3g5 / {13:54}(0T11)Qd8g5 
12.{12:50}(0T12)Bf1h3 / {13:45}(0T12)Qg5f6 
13.{12:27}(0T13)Kf2g2 / {13:35}(0T13)e4e3 ",1,0,2/10/2021,,,
19,Sapphia,Tones,1.{19:37}(0T1)Ng1f3 / {19:38}(0T1)Ng8f6 2.{19:37}(0T2)c2c4 / {19:38}(0T2)c7c5 3.{19:37}(0T3)b2b3 / {19:34}(0T3)Nb8c6 4.{19:37}(0T4)Bc1b2 / {18:53}(0T4)e7e6 5.{19:37}(0T5)g2g3 / {18:02}(0T5)Bf8e7 6.{19:34}(0T6)Bf1g2 / {17:34}(0T6)Nf6g4 7.{19:33}(0T7)h2h3 / {17:30}(0T7)Be7f6 8.{19:23}(0T8)Qd1c2 / {16:01}(0T8)Bf6b2 9.{19:23}(0T9)Qc2b2 / {16:01}(0T9)Qd8f6 10.{18:49}(0T10)Qb2f6 / {15:55}(0T10)Ng4f6 11.{18:45}(0T11)Ke1g1 / {15:28}(0T11)d7d5 12.{18:42}(0T12)Nb1a3 / {14:42}(0T12)a7a6 13.{18:42}(0T13)Ra1e1 / {14:24}(0T13)Nc6d4 14.{18:19}(0T14)c4d5 / {14:23}(0T14)Nd4f3 15.{18:19}(0T15)Bg2f3 / {14:16}(0T15)Nf6d5 16.{18:12}(0T16)Na3c4 / {13:04}(0T16)Ke8g8 17.{17:59}(0T17)Nc4e5 / {11:56}(0T17)Nd5f6 18.{17:39}(0T18)Re1c1 / {11:43}(0T18)Rf8d8 19.{17:38}(0T19)d2d3 / {11:41}(0T19)Rd8d5 20.{17:11}(0T20)Bf3g4 / {11:10}(0T20)Nf6g4 21.{17:11}(0T21)Ne5g4 / {11:02}(0T21)e6e5 22.{17:05}(0T22)e2e4 / {10:29}(0T22)Bc8g4 23.{17:05}(0T23)h3g4 / {9:30}(0T23)Rd5d3 24.{17:05}(0T24)Rc1c5 / {9:30}(0T24)Ra8e8 25.{17:02}(0T25)Kg1g2 / {8:15}(0T25)Re8d8 26.{17:02}(0T26)Rf1c1 / {7:45}(0T26)f7f6 27.{16:06}(0T27)Rc5c8 / {7:09}(0T27)h7h6 28.{15:20}(0T28)Rc8>>(0T27)c8 / {6:52}(1T27)h7h6 29.{15:05}(1T28)Rc8d8 / {6:18}(1T28)Rd3d8 (0T28)Rd3d2 30.{14:25}(1T29)Rc5c8 (0T29)a2a3 / {5:59}(1T29)Kg8h7 (0T29)Kg8h7 31.{13:08}(0T30)Rc1c7 (1T30)a2a3 / {5:08}(0T30)Rd2f2 (1T30)Rd8d2 32.{12:49}(0T31)Kg2f2 (1T31)Rc8e8 / {4:56}(1T31)Rd2>(0T31)d2 33.{12:40}(0T32)Kf2g1 (1T32)Rc1c8 / {3:18}(0T32)Rd2d1 (1T32)Kh7g6 34.{12:39}(0T33)Kg1g2 (1T33)Re8g8 / {2:10}(0T33)Rd1>>(0T7)d1 35.{12:39}(-1T8)Ke1d1 / {2:10}(-1T8)Ng4f2,0,1,23/10/2021,,,
20,Sapphia,Tones,"1.{16:53}(0T1)Ng1f3 / {14:33}(0T1)Ng8f6 
2.{16:53}(0T2)Nb1a3 / {14:33}(0T2)c7c6 
3.{16:53}(0T3)Na3c4 / {14:33}(0T3)d7d5 
4.{16:53}(0T4)Nc4e3 / {14:33}(0T4)g7g6 
5.{16:53}(0T5)g2g3 / {14:33}(0T5)Qd8a5 
6.{16:53}(0T6)Bf1g2 / {14:33}(0T6)Bf8h6 
7.{16:53}(0T7)c2c3 / {14:33}(0T7)Bh6e3 
8.{16:53}(0T8)d2e3 / {14:33}(0T8)Ke8g8 
9.{16:53}(0T9)Qd1d3 / {14:33}(0T9)Bc8f5 
10.{16:53}(0T10)b2b4 / {14:33}(0T10)Bf5d3 
11.{16:53}(0T11)b4a5 / {14:33}(0T11)Bd3e2 
12.{16:53}(0T12)Ke1e2 / {14:33}(0T12)Nf6e4 ",0,1,5/12/2021,,,
21,Sapphia,Tones,"1.{20:05}(0T1)Ng1f3 / {20:05}(0T1)b7b6 
2.{19:45}(0T2)c2c3 / {19:50}(0T2)d7d5 
3.{19:00}(0T3)c3c4 / {19:09}(0T3)Nb8c6 
4.{17:51}(0T4)Qd1a4 / {18:21}(0T4)Qd8d7 
5.{17:49}(0T5)c4d5 / {17:42}(0T5)Qd7d5 
6.{17:48}(0T6)Qa4f4 / {15:43}(0T6)Qd5c5 
7.{17:16}(0T7)Qf4f7 / {15:48}(0T7)Ke8f7 
8.{17:26}(0T8)Nf3>>(0T7)f5 / {15:31}(0T8)Qc5>>(0T4)c1 
9.{16:56}(0T9)Bc1>>(0T4)c6 / {15:22}(2T4)Bc8d7 ",0,1,24/12/2021,,,
22,Los Bro SPQR,Gumby Gord,"1. Nf3 / Nf6 
2. c4 / c5 
3. Nc3 / Nc6 
4. a3 / h6 
5. g3 / e6 
6. Bg2 / Bd6 
7. O-O / g5 
8. d4 / g4 
9. d5 / gxf3 
10. Bxf3 / Ne5 
11. Bg2 / a6 
12. dxe6 / dxe6 
13. Qa4 / Bd7 
14. Bc6 / Bxc6 
15. Nb5
",1,0,25/02/2021,,,
23,Los Bro SPQR,Public Match,"1. f4 / Nf6 
2. Nf3 / d5 
3. c3 / c6 
4. Qb3 / Qb6 
5. Qxb6 / axb6 
6. d4 / Bf5 
7. e3 / e6 
8. Nbd2 / Nbd7 
9. Be2 / Be7 
10. g3 / Ne4 
11. Nxe4 / Bxe4 
12. O-O / Nf6 
13. Ne5 / h5 
14. h4 / Bd6 
15. c4 / Bxe5 
16. dxe5 / Ng4 
17. Bxg4 / hxg4 
18. cxd5 / exd5 
19. Bd2 / O-O 
20. a3 / Ra6 
21. Rac1 / Rfa8 
22. f5 / Ra4 
23. e6 / fxe6 
24. fxe6 / Bf3 
25. Rxf3 / gxf3 
26. Bc3 / Re4 
27. Rf1 / Rf8 
28. Bd2 / Rxe6 
29. e4 / dxe4 
30. Bg5 / e3 
31. Kh1 / e2 
32. (0T32)Bg5>>x(0T30)g7~ (>L1) / (1T30)Kxg7 
33. (1T31)Bg5 / (1T31)Rg6 
34. (1T32)Be7",1,0,15/06/2021,,,
24,Los Bro SPQR,CrazyPenguin,"1. Nf3 / Nf6 
2. c4 / c5 
3. Nc3 / Nc6 
4. g3 / g6 
5. Bg2 / Bg7 
6. O-O / O-O 
7. e4 / b6 
8. d3 / Bb7 
9. Nd5 / Nd4 
10. Bg5 / Ng4 
11. Nxe7 / Kh8 
12. Nxg6 / hxg6 
13. Bxd8 / Rfxd8 
14. Nxd4 / Bh6 
15. Qxg4 / Rf8 
16. Qh3",1,0,28/07/2021,Anniversary Tourney,,
25,Dreamer,Los Bro SPQR,"1. Nf3 / Nf6 
2. d4 / c5 
3. c3 / Qb6 
4. Na3 / cxd4 
5. Qxd4 / Qxd4 
6. Nxd4 / Nc6 
7. Bf4 / a6 
8. Nc4 / Nxd4 
9. cxd4 / e6 
10. Nd6 / Bxd6 
11. Bxd6 / Rf8 
12. e3 / b5 
13. Be2 / Ne4 
14. Bxf8 / Kxf8 
15. Bf3 / f5 
16. O-O / Bb7 
17. Rac1 / Nd6 
18. Bxb7 / Nxb7 
19. Rc7 / Nd6 
20. Rfc1 / Ke7 
21. b3 / Ne8 
22. Rc8 / Rxc8 
23. Rxc8 / Nd6 
24. Rc2 / Ne4 
25. f3 / Nf6 
26. g3 / Nd5 
27. Kf2 / Nb4 
28. Rd2 / Nd5 
29. a4 / Nc3 
30. axb5 / axb5 
31. Rc2 / Nd1 
32. Ke2 / (0T32)Nd1>>x(0T30)d2~ (>L-1)",0,1,17/07/2021,Anniversary Tourney,,
26,Citrus,Los Bro SPQR,"1. e3 / Nf6 
2. Nf3 / e6 
3. b3 / c5 
4. Bb2 / Nc6 
5. Nc3 / d5 
6. Nb5 / d4 
7. Qe2 / a6 
8. Na3 / Bd7 
9. exd4 / cxd4 
10. Bxd4 / Nxd4 
11. Nxd4 / Be7 
12. Nc4 / b5 
13. Ne5 / Rc8 
14. a4 / Rf8 
15. axb5 / Bc5 
16. Nf5 / Qb6 
17. Nxg7 / Kd8 
18. Nxd7 / Nxd7 
19. Rxa6 / Bd4 
20. Kd1 / Qxa6 
21. Nxe6 / fxe6 
22. (0T22)Qe2>>(0T19)h5~ / (1T19)Be7 
23. (1T20)Nxe6 / (1T20)fxe6 
24. (1T21)Qxh7 / (1T21)Qc5 
25. (1T22)Qxe7 / (1T22)Kxe7 (0T22)Qa1
26. (1T23)Ra1>x(0T23)a1 / (0T23)Bxa1 (1T23)Qxc2",0,1,26/08/2021,Anniversary Tourney,,
27,Los Bro SPQR,Citrus,"1. Nf3 / Nf6 
2. e3 / d5 
3. Nc3 / c6 
4. Ne2 / Bf5 
5. Ng3 / Bg6 
6. b4 / a6 
7. Bb2 / e6 
8. c4 / Bxb4 
9. cxd5 / Qxd5 
10. a3 / Bd6 11. Rc1 / Qa2 
12. Bxf6 / gxf6 
13. Bc4 / Qxa3 
14. Nd4 / Be7 
15. Bxe6 / O-O 
16. Ngf5 / fxe6 
17. Nh6 / Kg7 
18. Nxe6 / Kxh6 
19. O-O / Bd6 
20. g3 / Bxg3 
21. fxg3 / Qd6 
22. (0T22)Qd1>>(0T18)h5~",0,1,26/08/2021,Anniversary Tourney,,
28,RyanFourPM,Los Bro SPQR,"1.{20:05}(0T1)Ng1f3 / {20:05}(0T1)Ng8f6
2.{20:05}(0T2)c2c4 / {20:05}(0T2)c7c6 
3.{20:05}(0T3)Qd1b3 / {20:05}(0T3)Qd8b6 
4.{20:05}(0T4)Qb3b6 / {20:05}(0T4)a7b6 
5.{20:00}(0T5)d2d4 / {20:01}(0T5)Nb8a6 
6.{19:51}(0T6)Bc1d2 / {19:57}(0T6)c6c5 
7.{18:50}(0T7)g2g3 / {19:55}(0T7)c5d4 
8.{18:49}(0T8)Bf1g2 / {19:47}(0T8)Na6c5 
9.{18:39}(0T9)Nf3d4 / {19:05}(0T9)e7e6 
10.{18:04}(0T10)Ke1g1 / {18:58}(0T10)Bf8e7 
11.{16:23}(0T11)Nb1c3 / {18:47}(0T11)e6e5 
12.{16:23}(0T12)Nd4f5 / {17:54}(0T12)d7d6 
13.{16:23}(0T13)Nf5e7 / {17:53}(0T13)Ke8e7 
14.{15:57}(0T14)Bd2g5 / {17:29}(0T14)Ke7e8 
15.{15:57}(0T15)Nc3b5 / {17:28}(0T15)Nc5e6 
16.{15:52}(0T16)Nb5d6 / {17:09}(0T16)Ke8f8 
17.{15:33}(0T17)Bg5f6 / {17:09}(0T17)g7f6 
18.{15:05}(0T18)Ra1d1 / {17:07}(0T18)Kf8e7 
19.{13:49}(0T19)Nd6c8 / {17:00}(0T19)Ra8c8 
20.{13:49}(0T20)Rd1d7 / {17:00}(0T20)Ke7d7 
21.{13:47}(0T21)Bg2b7",1,0,,,,
